,cons_12m,cons_gas_12m,date_activ,date_end,date_modif_prod,date_renewal,forecast_cons_12m,forecast_cons_year,forecast_meter_rent_12m,forecast_price_energy_p1,forecast_price_pow_p1,margin_gross_pow_ele,nb_prod_act,net_margin,num_years_antig,pow_max,origin_up_lxidpiddsbxsbosboudacockeimpuepw,channel_sales_foosdfpfkusacimwkcsosbicdxkicaua,avg_price_pow_energy,churn
12373,118901,0,2011.02,2017.01,2016.01,2015.02,7774.86,4528,20.18,0.142417,44.31137796,33.84,1,609.72,5,15.0,1,1,14.804965064444438,1
6773,11276,36791,2010.12,2016.12,2015.05,2015.12,1092.42,816,133.82,0.1165089999999999,40.606701,3.48,2,155.37,5,27.6,0,0,27.14422716666666,0
4557,3126,0,2012.06,2016.06,2015.05,2015.06,317.21,312,131.79,0.1151819999999999,40.606701,31.32,1,37.46,4,19.8,0,1,27.20407106060606,0
16483,17403,0,2010.02,2016.04,2010.02,2015.04,2552.35,5512,19.13,0.142065,44.31137796,29.76,1,200.52,6,13.2,1,1,14.84395892,1
20239,8328,18579,2012.02,2016.02,2014.06,2015.02,1258.71,840,18.41,0.146694,44.31137796,34.68,4,129.65,4,13.856,1,1,14.865305736666668,1
7405,21470,19346,2011.02,2016.02,2011.02,2015.02,1944.88,1547,145.22,0.120372,40.606701,74.88,2,230.38,5,50.0,1,1,27.23849504444444,1
19098,24888,0,2011.12,2016.12,2015.11,2015.12,1021.8,0,14.89,0.14346,45.30837756,15.12,1,90.44,4,13.2,1,1,14.864961097777778,1
4592,5946,0,2012.12,2016.09,2014.09,2015.09,858.23,0,19.79,0.140621,44.31137796,12.72,1,64.93,3,13.15,1,0,14.823440842222224,0
16671,2822,0,2009.09,2016.09,2009.09,2015.09,419.93,0,0.0,0.144902,44.31137796,12.82,1,37.81,6,13.2,0,0,14.81999561444444,1
11110,2848,0,2010.09,2016.09,2015.07,2015.09,422.12,0,19.42,0.141666,44.31137796,13.4,1,35.69,5,13.85,1,0,14.819676897777777,0
17272,7440,0,2012.07,2016.08,2015.06,2015.08,974.75,626,13.73,0.141434,44.31137796,12.36,1,81.4,4,10.392,1,1,14.829125458888887,1
11951,7857,0,2012.04,2016.04,2012.04,2015.04,1190.77,0,15.25,0.146694,44.31137796,25.84,1,147.68,4,12.5,1,1,14.845555842222224,1
15300,65346,25529,2012.03,2016.03,2013.11,2015.03,6746.04,4839,129.25,0.114658,40.606701,27.6,2,687.42,4,27.713,1,1,27.15342516666666,1
14065,3400,0,2012.11,2016.11,2012.11,2015.11,512.77,0,15.23,0.147506,45.80687796,33.12,1,57.6,3,13.2,1,1,14.852483125555551,1
15006,92618,0,2009.12,2016.03,2014.03,2015.03,717.3,444,0.0,0.100629,58.99595196,-0.78,1,83.32,6,30.0,1,0,34.73215704333333,1
10211,41298,10289,2013.03,2016.03,2013.03,2015.03,1613.51,4521,19.98,0.146694,44.31137796,34.27,2,101.38,3,15.0,1,1,14.850183531111112,0
6082,4100379,0,2013.06,2016.05,2014.04,2015.05,103.73,0,9.98,0.1640569999999999,44.31137796,26.7,1,10.25,3,14.49,1,1,14.879881981111112,0
12353,17242,0,2009.12,2016.11,2015.1,2015.11,561.65,523,117.53,0.114667,40.9390266,27.33,1,70.92,6,23.0,1,0,27.254819316666666,1
9044,213,0,2010.1,2016.1,2010.1,2015.1,14.73,0,141.03,0.1165089999999999,41.27136420000001,154.49,1,7.67,5,75.0,0,0,27.276741533333325,0
9208,12517,0,2010.03,2016.03,2010.03,2015.03,1368.0,1240,129.26,0.120372,40.606701,39.96,1,159.53,6,20.0,1,0,27.229286233333333,0
10901,87604,0,2012.06,2016.09,2013.09,2015.09,8659.2,6833,359.25,0.111125,40.606701,42.12,1,699.18,4,155.0,1,1,27.16648575,1
11170,1627,0,2010.01,2017.01,2010.01,2016.01,244.98,0,16.61,0.146694,44.31137796,37.56,1,28.18,6,15.0,1,0,14.805857875555551,0
17872,900,0,2009.07,2016.07,2009.07,2015.07,134.16,0,16.19,0.144902,44.31137796,19.48,1,12.62,7,13.856,0,0,14.829930036666664,1
13806,30926,0,2011.1,2016.1,2011.1,2015.1,3166.16,0,137.53,0.1152369999999999,40.606701,5.52,1,359.26,4,16.5,0,0,27.162528055555548,1
5067,7799,0,2011.11,2016.02,2015.12,2015.02,918.79,0,0.0,0.160012,44.31137796,34.68,1,84.75,4,13.856,1,0,14.839040369999994,0
17722,13725,0,2013.04,2016.07,2013.07,2015.07,1388.54,0,118.23,0.1128599999999999,40.606701,23.88,1,194.37,3,15.935,1,1,27.204506333333327,1
7761,1985,64101,2010.05,2016.05,2010.05,2015.05,297.33,373,16.62,0.1457109999999999,44.31137796,25.56,2,31.12,6,13.856,0,1,14.840182903333336,0
13371,10146,0,2009.08,2016.08,2015.06,2015.08,1413.48,0,18.01,0.141434,44.31137796,29.76,3,129.98,6,13.2,0,0,14.823803786666668,1
4707,148103,4154590,2012.05,2016.08,2013.08,2015.08,4974.07,5897,145.44,0.1169099999999999,40.606701,32.01,2,587.17,4,41.5,1,1,27.19019952777778,0
10737,1853,0,2010.11,2016.11,2010.11,2015.11,279.5,0,15.97,0.147506,46.30537836,21.09,1,28.53,5,10.392,0,0,14.871818653333326,0
10532,10570,0,2011.02,2016.09,2015.09,2015.02,1168.39,0,31.68,0.228671,46.30537836,32.4,2,82.29,5,13.856,1,1,15.15553307,0
9233,11230,0,2010.06,2016.06,2015.05,2015.07,1149.55,1051,132.49,0.1169099999999999,40.606701,31.24,2,144.52,6,25.0,0,1,27.25420506060606,0
19423,3838,0,2009.11,2016.11,2015.11,2015.11,379.48,0,133.24,0.114088,41.1052014,26.55,1,42.51,6,17.0,0,0,27.194851977777773,1
3263,30681,658908,2011.08,2016.08,2015.07,2015.08,3088.07,4036,131.01,0.1157609999999999,40.606701,18.6,2,374.67,4,29.7,0,0,27.18043933333333,0
9165,902778,0,2010.07,2016.07,2010.07,2015.07,4916.09,4006,145.51,0.1169099999999999,40.606701,50.88,1,613.42,6,66.0,0,0,27.19020019444444,0
13019,2665,0,2013.01,2017.01,2013.01,2016.01,641.48,458,16.57,0.237776,44.31137796,0.12,1,282.03,3,13.856,1,1,14.83374740333333,1
7703,1112034,0,2010.04,2016.04,2010.04,2015.04,772.24,225,16.55,0.146694,44.31137796,27.32,1,80.09,6,13.2,0,0,14.845144842222222,0
9398,5463,34405,2010.01,2016.01,2010.01,2015.02,822.38,780,10.02,0.146694,44.31137796,28.8,2,80.76,6,11.5,1,0,14.805857875555551,0
10455,14008,0,2012.01,2016.01,2015.11,2015.02,216.5,0,16.31,0.145541,44.31137796,26.04,1,22.05,4,10.392,1,1,14.805733641212116,0
9520,3701,0,2010.02,2016.02,2010.02,2015.02,381.38,434,131.02,0.120372,40.606701,57.72,1,45.03,6,23.1,0,0,27.23849504444444,0
3706,5937,0,2009.08,2016.08,2009.08,2015.08,883.17,821,18.32,0.144902,44.31137796,12.36,1,82.57,6,10.392,1,0,14.824962842222224,0
13914,5707,0,2012.11,2016.11,2012.11,2015.11,652.96,0,16.23,0.168242,45.80687796,22.89,1,66.91,3,13.856,0,0,14.84184496242424,1
821,1297,0,2012.06,2016.07,2014.07,2015.07,192.35,218,18.4,0.144902,44.31137796,19.11,1,18.45,4,10.35,0,0,14.839575431111117,0
12883,14611,3792,2011.07,2016.07,2011.07,2015.07,1817.55,2839,37.45,0.1646369999999999,44.31137796,16.8,4,157.59,5,13.32,1,1,14.864763653333332,1
17750,4989,0,2009.12,2016.12,2014.02,2015.12,426.84,337,131.76,0.1005279999999999,58.99595196,-1.8,1,51.76,6,6.9,0,0,34.76967150000001,1
8646,8293,0,2010.02,2016.02,2015.12,2015.02,1246.05,813,9.71,0.143805,44.31137796,27.6,1,139.4,6,11.0,1,0,14.805796931111107,0
4595,72755,0,2012.01,2016.07,2012.01,2015.07,332.55,756,13.96,0.161165,44.31137796,19.48,1,32.42,4,13.856,1,1,14.863683503333334,0
6869,117025,0,2012.09,2016.11,2013.11,2015.11,1962.37,397,147.65,0.103919,58.99595196,-6.12,1,311.2,3,26.4,1,1,34.66807758666667,0
13417,2310,843,2012.03,2016.03,2012.03,2015.03,349.15,0,16.81,0.146694,44.31137796,28.24,2,35.71,4,13.2,1,1,14.850491781111112,1
11962,155441,0,2013.05,2016.05,2013.05,2015.05,845.92,0,19.44,0.144902,44.31137796,24.42,1,81.38,3,13.2,1,1,14.839864425555556,1
230,340843,349985,2011.08,2016.08,2015.07,2015.08,3797.44,3253,129.02,0.1157609999999999,40.606701,17.34,2,454.88,4,27.713,1,1,27.252823166666666,0
18107,112087,0,2011.01,2016.11,2015.11,2015.01,2156.9,2832,8.59,0.142592,44.31137796,5.4,1,168.09,5,11.5,1,1,14.834134681111117,1
8512,2459585,544031,2010.07,2016.07,2010.07,2015.07,120.9,358,144.95,0.1169099999999999,40.606701,22.31,9,12.26,6,16.5,0,0,27.191211499999994,0
74,12977,0,2012.11,2016.11,2015.09,2015.11,1574.09,685,16.59,0.163868,44.31137796,4.86,1,101.61,3,10.392,1,1,14.858803458888888,0
4477,503407,0,2011.03,2016.03,2011.03,2015.03,1451.55,1435,132.55,0.1169,40.606701,64.9,1,172.76,5,48.0,0,0,27.225663316666665,0
17187,8097,0,2012.06,2016.06,2015.05,2015.06,858.55,790,144.73,0.1157609999999999,40.606701,60.0,1,99.1,4,24.0,1,1,27.199473999999995,1
1805,4056,0,2010.11,2016.11,2010.11,2015.11,610.59,714,18.32,0.147506,45.80687796,20.61,1,61.87,5,12.5,1,1,14.852483125555551,0
19873,533498,0,2012.09,2016.09,2012.09,2015.09,16481.09,23522,153.01,0.110955,40.606701,-9.99,1,1033.83,3,69.3,0,0,27.169641916666663,1
1011,9008,0,2011.05,2016.05,2011.05,2015.05,1345.07,0,14.04,0.1457109999999999,44.31137796,17.22,1,143.56,5,10.392,1,1,14.839829814444444,0
15820,58046,7055,2013.03,2016.03,2014.01,2015.03,6169.38,11636,157.82,0.1169,40.606701,27.6,4,563.7,3,27.713,1,1,27.225807733333333,1
2122,23960,0,2005.06,2016.06,2005.06,2015.06,2436.64,4652,144.21,0.115174,40.606701,25.24,1,246.44,11,27.6,0,0,27.197643499999995,1
8424,8570,0,2010.06,2016.06,2015.04,2015.06,1276.28,0,18.71,0.14398,44.31137796,16.92,1,114.66,6,10.392,1,1,14.83478984777778,0
1471,8880,0,2010.03,2016.03,2010.03,2015.03,1341.88,1010,13.84,0.146694,44.31137796,34.27,1,139.11,6,15.0,1,1,14.850491781111112,0
16131,41606,0,2009.09,2016.09,2015.07,2015.09,824.93,625,17.01,0.141434,44.31137796,14.03,1,68.83,6,14.5,0,0,14.819320181111111,1
10914,3540,0,2013.02,2016.02,2014.06,2015.02,535.55,0,13.73,0.146694,44.31137796,34.68,1,55.91,3,13.856,0,0,14.865385168484847,1
20066,16707,0,2012.02,2016.01,2015.12,2015.02,1648.62,567,145.82,0.1134369999999999,40.606701,24.72,1,202.19,4,16.5,1,1,27.143669999999997,1
10198,8335,0,2010.06,2016.06,2010.06,2015.06,949.72,0,15.91,0.16695,44.31137796,16.92,1,100.94,6,10.392,0,0,14.87193639222222,0
9197,82125,58526,2010.08,2016.08,2015.07,2015.08,2389.95,4839,144.61,0.097493,58.99595196,-1.35,2,239.79,5,10.392,0,0,34.67448804444445,0
10467,5322441,921247,2010.05,2016.05,2014.07,2015.05,882.61,0,15.61,0.1383049999999999,44.31137796,-0.36,32,41.87,6,13.856,0,0,14.842847731111112,0
2814,2352,0,2009.12,2016.12,2009.12,2015.12,234.83,234,132.17,0.1152369999999999,41.27136420000001,32.28,1,27.67,6,17.25,0,1,27.144419133333333,0
1748,43167,0,2011.05,2016.05,2015.04,2015.05,4226.97,3239,142.69,0.114603,40.606701,45.24,1,534.36,5,42.6,0,0,27.206097999999997,0
10675,8093,0,2010.06,2016.06,2010.06,2015.06,871.58,501,359.25,0.115174,40.606701,87.08,1,91.06,6,55.0,1,1,27.197643366666664,0
14528,233473,0,2009.11,2016.11,2009.11,2015.11,10245.86,8917,132.14,0.110955,40.606701,-1.38,1,707.43,6,61.98,0,0,27.15046616666666,1
3907,18135,0,2009.08,2016.08,2009.08,2015.08,2021.41,0,16.22,0.1640569999999999,44.31137796,18.24,1,162.69,6,14.49,0,0,14.860129536666667,0
8359,881406,0,2009.09,2016.03,2009.09,2015.03,1615.51,2361,58.4,0.1640579999999999,44.31137796,27.14,1,120.85,6,13.2,0,0,14.885081642222223,0
20261,11365,17060,2009.12,2016.12,2015.1,2015.12,1677.77,0,9.57,0.144058,44.31137796,27.0,5,156.38,6,12.0,1,0,14.82097538060606,1
15260,8595,0,2010.11,2016.09,2013.09,2015.09,1048.66,883,18.08,0.1670859999999999,45.30837756,34.68,1,94.69,5,13.856,1,1,14.872072719999997,1
12739,6217,0,2010.12,2016.12,2010.12,2015.12,659.69,0,133.18,0.1165089999999999,40.9390266,66.0,1,78.67,5,26.4,0,0,27.14788633333333,1
6133,10069,0,2010.1,2016.1,2010.1,2015.1,1490.64,0,16.21,0.1446309999999999,44.31137796,6.92,1,130.65,5,10.392,0,0,14.81483114222222,0
12445,3036,0,2011.06,2016.06,2011.06,2015.07,455.91,239,19.57,0.1457109999999999,44.31137796,21.52,1,45.5,5,13.2,1,1,14.832464774545455,1
16019,3871,0,2012.08,2016.08,2012.08,2015.08,390.04,348,127.84,0.1169099999999999,40.606701,51.96,1,48.27,3,20.785,1,1,27.182175,1
16451,585608,0,2010.07,2016.07,2010.07,2015.07,190.44,139,359.72,0.1001669999999999,58.99595196,-2.6,1,25.12,6,20.0,0,0,34.69245247272727,1
5662,45775,0,2009.06,2016.06,2009.06,2015.06,4797.06,2689,131.31,0.115174,40.606701,45.36,1,509.59,7,49.5,0,0,27.197643499999995,0
17561,164547,0,2009.12,2016.1,2013.09,2015.1,15625.77,22417,128.1,0.1100829999999999,40.606701,-5.8,1,1029.89,6,35.0,0,0,27.184649472222212,1
6492,13603,0,2009.12,2016.12,2015.1,2015.12,2009.98,0,9.47,0.144058,44.31137796,2.78,1,163.22,6,10.35,0,0,14.804827947777769,0
18473,10992,0,2010.1,2016.1,2015.05,2015.1,1149.19,0,120.47,0.1152369999999999,40.606701,9.84,1,140.59,5,19.6,0,0,27.162238722222217,1
14948,34880,0,2012.01,2017.01,2014.12,2016.01,3523.76,2583,142.14,0.1186359999999999,40.606701,46.44,2,422.22,4,31.0,1,1,27.14564066666666,1
12346,830,0,2012.05,2016.05,2012.05,2015.05,99.55,0,37.35,0.1640569999999999,44.31137796,24.33,1,10.69,4,13.164,1,1,14.875393597777782,1
10669,2073,0,2009.07,2016.07,2009.07,2015.07,308.77,0,16.51,0.144902,44.31137796,16.5,1,28.25,7,11.73,0,0,14.829930003333336,0
4135,103392,0,2010.08,2016.08,2010.08,2015.08,8760.78,8490,346.47,0.097701,58.99595196,-15.84,1,614.85,5,103.0,1,1,34.67322179444445,0
4025,26006,79308,2010.12,2016.05,2014.02,2015.06,739.58,0,16.56,0.161743,44.31137796,23.76,2,73.55,5,10.392,0,0,14.838719203333328,0
5854,12280,0,2012.06,2016.07,2015.05,2015.07,1815.12,2028,2.42,0.1443279999999999,44.31137796,21.9,1,151.12,4,13.2,1,1,14.839430431111117,0
10650,8175,0,2009.09,2016.09,2009.09,2015.09,1220.41,0,15.95,0.144902,44.31137796,12.82,1,110.65,6,13.2,0,1,14.819995647777777,0
10508,3329244,867921,2013.02,2016.01,2013.02,2015.02,7431.48,7348,142.2,0.115744,40.606701,39.96,2,659.92,3,40.0,0,0,27.14291936969697,0
12541,67565,0,2012.04,2016.04,2012.04,2015.04,509.14,543,18.37,0.146694,44.31137796,27.12,1,55.54,4,13.15,1,0,14.845555842222224,1
15725,119576,0,2010.1,2016.1,2010.1,2015.1,11738.82,10731,359.25,0.110955,40.606701,-13.0,1,877.54,5,78.89,1,1,27.15940366666666,1
1301,9800,0,2013.02,2016.02,2015.02,2015.02,1278.48,0,15.36,0.170262,44.31137796,0.12,1,336.88,3,13.856,0,1,14.440380392222218,0
3400,3458,0,2010.01,2016.02,2010.01,2015.02,554.31,0,18.27,0.158145,44.31137796,37.56,1,54.03,6,15.0,1,1,14.809054453333328,0
1540,67616,0,2012.03,2016.03,2015.03,2015.03,2986.0,2975,129.71,0.1157509999999999,40.606701,32.83,1,350.29,4,24.249,1,1,27.252236416666666,0
6501,25259,0,2011.06,2016.07,2014.06,2015.07,2468.62,2353,129.61,0.1128599999999999,40.606701,15.45,2,268.21,5,20.0,1,1,27.20441869444444,0
10039,2459585,544031,2010.07,2016.07,2010.07,2015.07,7372.31,13545,16.09,0.1646369999999999,44.31137796,18.24,9,643.9,6,14.5,0,0,14.864763619999998,0
11545,4530,0,2012.03,2016.03,2012.03,2015.03,686.76,829,18.52,0.146694,44.31137796,28.58,1,72.98,4,12.5,1,0,14.850491781111112,1
11093,16913,0,2012.02,2016.02,2015.12,2015.02,2500.45,0,18.47,0.141838,44.31137796,31.2,1,235.16,4,13.856,1,0,14.80466089575757,0
13966,1721,0,2009.09,2016.07,2015.07,2014.09,252.74,0,16.84,0.142649,44.31137796,21.48,1,23.35,6,10.392,0,0,14.84409425888889,1
8369,7065,0,2010.01,2016.01,2015.11,2015.01,681.78,0,18.27,0.142649,44.31137796,37.56,1,69.94,6,15.0,1,0,14.805521458888885,0
477,11839,0,2012.11,2016.11,2015.1,2015.11,657.49,549,128.9,0.113624,40.9390266,37.68,2,91.53,3,15.1,1,0,27.191687216666654,1
17743,187,0,2009.08,2016.08,2009.08,2015.08,22.87,0,16.3,0.165793,44.31137796,16.44,1,2.29,6,13.856,0,0,14.860773536666668,1
12846,6500,0,2010.01,2017.01,2015.11,2016.01,594.55,0,19.55,0.144963,44.31137796,26.04,1,61.54,6,10.392,1,1,14.80571405888888,1
14437,68980,0,2010.01,2017.01,2015.12,2016.01,4509.33,2164,143.64,0.1122789999999999,40.606701,29.64,1,530.84,6,19.8,1,1,27.143862083333328,1
9111,20827,0,2012.07,2016.07,2015.06,2015.07,2134.92,1785,141.8,0.1157609999999999,40.606701,21.53,1,258.14,4,28.0,0,1,27.25291975,0
13334,3584,0,2010.11,2016.11,2010.11,2015.11,379.83,322,145.98,0.1152369999999999,41.1052014,57.72,1,38.76,5,23.1,1,1,27.19514022777777,1
8283,19961,8510,2011.02,2016.02,2011.02,2015.02,1652.82,2344,132.15,0.1169,40.606701,25.8,2,191.08,5,17.25,0,0,27.234919099999995,0
19937,158835,0,2004.07,2016.07,2004.07,2015.07,14901.18,11767,132.35,0.1100829999999999,40.606701,-3.42,1,1021.45,12,32.38,0,0,27.184649472222212,1
17073,14991,0,2010.03,2016.04,2010.03,2015.04,1572.6,1181,129.26,0.115174,40.606701,38.0,1,169.78,6,31.5,1,1,27.2160042,1
17308,66314,0,2012.08,2016.08,2012.08,2015.08,6540.3,5693,144.97,0.114481,40.606701,13.02,1,683.44,3,34.641,1,1,27.17905044444444,1
9601,3695,0,2013.01,2016.04,2014.04,2015.04,540.89,0,0.0,0.142065,44.31137796,31.32,1,84.85,3,12.5,1,1,14.848605864444446,1
12809,226728,0,2012.08,2016.08,2012.08,2015.08,9178.32,6913,130.32,0.114481,40.606701,6.48,1,940.98,3,17.32,1,1,27.180206666666667,1
12868,5505,0,2011.06,2016.06,2011.06,2015.06,218.56,273,16.74,0.1457109999999999,44.31137796,26.04,1,22.88,5,10.392,0,0,14.835225264444448,1
16468,5683,0,2012.04,2016.04,2012.04,2015.05,858.34,0,11.43,0.1457109999999999,44.31137796,37.56,1,114.14,4,15.0,1,1,14.843495465454549,1
10573,65509,0,2010.09,2016.09,2010.09,2015.09,6467.93,4729,140.62,0.113323,40.606701,7.17,1,557.17,5,26.3,1,1,27.16877103333333,0
19806,8979,0,2012.03,2016.03,2012.03,2015.03,997.7,1231,16.41,0.1640579999999999,44.31137796,32.25,1,10.96,4,15.0,1,0,14.885081642222223,1
8868,10842,0,2011.07,2016.07,2011.07,2015.07,1615.3,0,15.98,0.144902,44.31137796,17.45,1,138.28,5,13.856,0,0,14.829930003333336,1
13040,61124,0,2011.08,2016.08,2011.08,2015.08,5872.89,6084,146.09,0.114481,40.606701,42.96,2,646.02,4,43.0,1,0,27.17905044444444,1
19062,2712,0,2011.12,2016.12,2015.11,2015.12,404.4,544,0.0,0.144039,46.30537836,24.62,1,36.22,4,12.5,1,1,14.820221181111112,1
2158,10757,0,2012.01,2017.01,2015.11,2016.01,1248.98,0,38.22,0.161169,44.31137796,29.64,1,111.37,4,13.164,1,1,14.840764225555546,0
18336,26177,5624,2012.1,2016.1,2012.1,2015.1,3103.9,0,16.27,0.143166,44.31137796,9.2,3,238.45,3,13.856,0,1,14.81555225333333,1
3992,58132,0,2012.02,2016.11,2013.11,2015.11,2562.63,1890,142.83,0.1152369999999999,40.606701,49.44,1,267.86,4,33.0,1,1,27.160601111111102,1
295,33085,0,2008.01,2016.02,2014.02,2015.02,2966.7,2557,167.52,0.100629,58.99595196,0.12,1,347.82,8,40.0,1,0,34.743945195555554,0
6931,9550,0,2012.06,2016.06,2012.06,2015.06,1118.87,0,27.86,0.16695,44.31137796,21.52,1,116.28,4,13.2,1,1,14.871936425555557,0
16010,181340,0,2010.11,2016.11,2010.11,2015.11,627.56,0,15.98,0.147506,45.80687796,17.13,1,63.34,5,10.392,0,0,14.85248305888888,1
3911,2730,0,2012.09,2016.1,2014.1,2015.1,38.38,0,16.28,0.144902,44.31137796,10.36,1,12.66,3,13.84,1,1,14.824816931111108,0
17836,533498,0,2012.09,2016.09,2012.09,2015.09,16481.09,23522,153.01,0.110955,40.606701,-9.99,1,1033.83,3,69.3,0,0,27.169641916666663,1
17798,63354,0,2011.05,2016.05,2011.05,2015.06,6095.28,5367,142.2,0.114481,40.606701,28.83,1,664.63,5,42.0,0,0,27.20641752777777,1
3580,2118,0,2009.11,2016.11,2009.11,2015.11,241.83,768,38.66,0.1670859999999999,46.30537836,21.09,1,19.43,6,10.392,0,0,14.901616664444443,0
19482,7027,1030,2011.11,2016.11,2014.09,2015.11,1040.99,0,16.38,0.147506,45.30837756,34.68,2,102.76,4,13.856,0,0,14.892094142222222,1
18282,0,0,2012.02,2016.02,2012.02,2015.02,0.0,0,0.0,0.1168829999999999,40.606701,109.08,1,0.0,4,43.648,1,1,27.144075506666667,1
5174,584206,0,2011.03,2016.03,2011.03,2015.03,4001.94,3965,16.42,0.1620329999999999,44.31137796,30.86,1,352.4,5,15.0,0,0,14.883920725555557,0
2332,2192,0,2009.05,2016.05,2009.05,2015.06,327.41,0,19.8,0.144902,44.31137796,19.2,1,32.05,7,10.392,0,0,14.83986439222222,0
12202,3653,0,2010.06,2016.06,2010.06,2015.07,549.34,0,15.74,0.1457109999999999,44.31137796,21.52,1,55.38,6,13.2,0,0,14.83026755888889,1
13214,14710,0,2012.05,2016.05,2012.05,2015.05,2170.58,3250,18.0,0.143166,44.31137796,29.76,1,194.65,4,13.2,1,1,14.839333364444444,1
816,3610,0,2012.07,2016.07,2015.07,2015.07,307.92,271,132.66,0.098023,58.99595196,-1.35,1,34.22,4,10.392,0,0,34.69677907222223,0
13427,3857,0,2011.1,2016.1,2011.1,2015.1,583.44,0,9.86,0.147506,45.80687796,18.08,1,60.19,4,10.35,0,0,14.899127419999996,1
6482,500343,0,2010.05,2016.05,2010.05,2015.05,4024.73,5897,143.01,0.115174,40.606701,42.45,1,508.79,6,40.0,0,0,27.20682391666666,0
15617,5025,0,2009.1,2016.1,2009.1,2015.1,540.87,0,17.4,0.165793,44.31137796,10.36,1,51.09,6,13.856,0,1,14.851076592222222,1
8941,7401,0,2009.09,2016.09,2009.09,2015.1,689.82,507,131.67,0.1152369999999999,40.9390266,22.28,1,86.17,6,15.1,0,0,27.218083655555557,0
4001,26713,0,2011.11,2016.03,2011.11,2015.03,3905.42,2223,15.28,0.142065,44.31137796,28.45,1,325.8,4,13.856,1,1,14.84890719777778,0
7834,14387,0,2007.02,2017.01,2007.02,2016.01,0.0,0,0.0,0.144238,44.44470996,29.76,1,223.11,9,13.2,1,0,0.0001999999999999,0
18044,2268,0,2010.01,2016.03,2010.01,2015.03,344.15,0,18.25,0.146694,44.31137796,30.22,1,38.32,6,13.2,0,0,14.850491781111112,1
4532,6286272,0,2012.06,2016.08,2014.08,2015.08,4913.2,7542,145.75,0.1076589999999999,40.606701,-3.48,1,330.18,4,27.75,1,1,27.173762216666667,0
7896,16008,0,2011.03,2016.03,2011.03,2015.03,2363.06,1940,8.67,0.144149,44.31137796,22.65,1,222.76,5,11.0,1,1,14.804952097777775,0
