,cons_12m,cons_gas_12m,date_activ,date_end,date_modif_prod,date_renewal,forecast_cons_12m,forecast_cons_year,forecast_meter_rent_12m,forecast_price_energy_p1,forecast_price_pow_p1,margin_gross_pow_ele,nb_prod_act,net_margin,num_years_antig,pow_max,origin_up_lxidpiddsbxsbosboudacockeimpuepw,channel_sales_foosdfpfkusacimwkcsosbicdxkicaua,avg_price_pow_energy,churn
2256,10201,0,2011.09,2016.09,2015.08,2015.09,557.44,477,131.36,0.1153599999999999,40.9390266,22.28,1,63.21,4,15.1,0,0,27.273786483333325,0
15820,1440,0,2009.1,2016.1,2009.1,2015.1,215.66,0,15.73,0.142881,44.31137796,34.68,1,21.99,6,13.856,1,0,14.92661575333333,1
2598,4790,0,2010.09,2016.09,2010.09,2015.09,716.15,0,16.26,0.1457109999999999,44.31137796,12.82,1,68.81,5,13.2,0,0,14.820352314444442,0
4568,11781,0,2012.01,2016.01,2015.11,2015.02,1746.78,0,17.82,0.143575,44.31137796,23.28,1,164.03,4,10.35,0,0,14.826488762424242,0
2741,363,0,2009.08,2016.08,2015.06,2015.08,53.91,6,16.62,0.141434,44.31137796,15.72,1,10.74,6,13.2,0,0,14.824286736666666,0
1294,100955,0,2012.06,2016.06,2012.06,2015.06,142.59,115,128.91,0.115174,40.606701,31.16,1,15.79,4,19.72,1,1,27.197643499999995,0
4181,3840,28453,2012.06,2016.04,2012.06,2015.04,377.54,354,134.5,0.1128599999999999,40.606701,33.62,3,41.95,4,16.5,0,0,27.213685866666665,0
12067,14850,7610,2012.05,2016.05,2012.05,2015.06,1658.27,0,16.5,0.143166,44.31137796,22.95,2,159.77,4,13.856,0,0,14.839333364444444,0
9196,4078,0,2011.1,2016.1,2011.1,2015.1,610.7,0,16.61,0.144902,44.31137796,11.24,1,54.0,4,15.0,1,1,14.815424042222222,0
2731,26365,0,2010.11,2016.04,2014.09,2015.05,2200.56,2592,146.4,0.098023,58.99595196,-0.34,1,257.2,5,6.6,1,1,34.765515750000006,0
957,14062,0,2013.02,2016.02,2013.02,2015.02,2081.39,2551,69.21,0.144142,44.31137796,23.4,1,193.69,3,10.39,1,1,14.804965097777774,0
5124,42059,0,2013.06,2016.06,2015.05,2015.06,4207.31,4087,129.24,0.1157609999999999,40.606701,17.4,1,511.1,3,19.0,1,1,27.252967916666663,0
14062,1938393,0,2012.09,2016.09,2012.09,2015.09,5871.29,7703,16.72,0.113323,40.606701,4.68,1,635.3,3,17.32,1,1,27.168771166666662,0
1084,6725,0,2009.02,2016.03,2009.02,2015.03,591.2,478,131.41,0.102772,58.99595196,-0.26,1,83.97,7,9.9,0,0,34.734745376666666,0
12756,2977,0,2009.12,2016.08,2009.12,2015.08,236.66,0,15.96,0.1457109999999999,44.31137796,12.36,1,23.31,6,10.392,0,1,14.827056368484849,0
6748,24155,0,2010.12,2016.06,2015.05,2015.07,2552.02,2340,142.2,0.114604,40.606701,55.0,1,235.67,5,60.0,0,0,27.19725566666666,0
12796,12595,0,2012.03,2016.03,2012.03,2015.03,1243.22,0,15.93,0.146694,44.31137796,31.64,1,123.34,4,13.856,0,0,14.850491781111112,0
3621,3176,0,2010.02,2016.02,2014.06,2015.02,343.42,319,19.92,0.146694,44.31137796,33.12,1,34.15,6,13.2,0,0,14.865273486666668,0
951,13793,0,2011.12,2016.12,2011.12,2015.12,1275.04,495,145.04,0.1005279999999999,58.99595196,-10.28,1,141.98,4,40.0,1,0,34.63059801666666,0
6790,26098,0,2012.05,2016.05,2012.05,2015.05,3848.98,3935,0.0,0.143166,44.31137796,18.27,3,356.73,4,11.0,1,0,14.839333431111116,0
7445,37361,753988,2013.02,2016.02,2013.02,2015.02,2693.63,2979,144.4,0.1186359999999999,40.606701,48.36,2,320.45,3,32.3,1,1,27.23704393333333,0
6542,7809,0,2012.05,2016.05,2012.05,2015.05,595.01,723,22.28,0.161165,44.31137796,19.2,1,65.76,4,10.392,1,1,14.873683514444448,0
15166,60109,0,2013.04,2016.04,2014.01,2015.04,6187.16,3789,131.38,0.114481,40.606701,18.16,1,624.03,3,23.01,1,1,27.21553975555555,0
6110,15102,0,2012.12,2016.12,2015.11,2015.12,2241.93,0,16.16,0.144058,44.31137796,3.7,1,201.31,3,13.856,1,1,14.82461690888889,0
13030,4988,0,2009.12,2016.1,2014.05,2015.06,747.9,0,16.32,0.144902,44.31137796,7.8,1,86.2,6,10.392,1,1,14.839864458888892,0
10499,680826,0,2010.01,2016.02,2010.01,2015.03,1282.76,1726,16.17,0.164635,44.31137796,33.12,1,82.51,6,13.2,0,0,14.889520665454548,0
1042,86232,0,2010.05,2016.05,2010.05,2015.05,296.15,262,128.54,0.115174,40.606701,43.32,1,33.82,6,17.320999999999998,1,1,27.20682391666666,1
3038,58868,0,2010.03,2016.03,2010.03,2015.03,4867.99,0,120.06,0.1186359999999999,40.606701,35.76,1,589.08,6,26.4,0,0,27.22711323333333,0
13490,13950,0,2012.03,2016.03,2014.06,2015.03,2105.54,4621,21.54,0.146694,44.31137796,27.03,1,147.41,4,13.15,1,1,14.865357181111111,0
9544,10971,0,2009.06,2016.06,2009.06,2015.06,1043.86,1137,131.76,0.115174,40.606701,27.32,1,109.08,7,17.25,0,1,27.197643499999995,0
7254,1397,0,2012.01,2017.01,2012.01,2016.01,210.98,0,15.96,0.146694,44.31137796,34.68,1,21.76,4,13.856,0,0,14.80585780888888,0
1301,881,0,2010.11,2016.11,2010.11,2015.11,132.78,0,17.23,0.147506,46.30537836,28.02,1,13.45,5,13.856,0,0,14.866371992222218,1
13656,13636,0,2012.07,2016.08,2015.06,2015.08,628.44,0,18.24,0.141434,44.31137796,12.36,1,53.51,4,10.392,1,1,14.83401412,0
2147,19410,0,2011.11,2016.11,2015.09,2015.11,2858.48,0,14.92,0.142322,44.31137796,6.18,1,215.66,4,13.2,0,0,14.824404370000002,0
10931,10496,0,2011.06,2016.12,2015.11,2015.06,1550.89,152,16.44,0.162707,44.31137796,31.2,1,103.05,5,13.856,0,0,13.595665337777776,0
31,4792,0,2011.12,2016.12,2015.11,2015.12,719.4,0,0.0,0.144039,45.80687796,19.42,1,60.0,4,12.5,1,1,14.80564656444444,0
12477,12179,0,2013.04,2016.07,2015.07,2015.04,1398.68,0,16.5,0.2292719999999999,45.80687796,32.19,2,78.6,3,13.856,0,1,15.14630937,0
3206,42675,0,2013.02,2016.1,2013.11,2015.1,-220.79,0,13.74,0.1457109999999999,44.31137796,19.2,1,1.32,3,10.392,1,1,14.840182736666664,0
13321,25974,0,2011.1,2016.1,2015.05,2015.1,2660.57,2387,131.03,0.1165089999999999,40.606701,5.8,1,335.43,4,17.25,0,1,27.163896833333325,0
1323,41712,0,2013.05,2016.08,2014.1,2015.08,2345.55,1629,143.62,0.1128599999999999,40.606701,9.419999999999993,1,248.14,3,15.1,1,1,27.24980025,0
3272,39309,0,2010.07,2016.11,2013.11,2015.11,2473.92,2184,140.75,0.1152369999999999,40.606701,3.24,1,279.39,6,17.320999999999998,1,1,27.16212612121211,1
10723,7897,0,2012.08,2016.09,2015.07,2015.09,463.67,0,16.37,0.141434,44.31137796,11.59,1,39.6,3,12.0,1,1,14.839034958888892,1
5953,5009,0,2010.06,2016.06,2010.06,2015.06,743.04,0,19.25,0.144902,44.31137796,21.52,1,69.06,6,13.2,0,0,14.839852064444443,0
162,6060,0,2009.07,2016.07,2009.07,2015.07,901.19,1232,25.33,0.144902,44.31137796,19.04,1,87.0,7,13.5,1,1,14.82993007,0
8858,2007,0,2013.06,2016.06,2013.04,2015.06,301.72,0,0.0,0.1457109999999999,44.31137796,24.4,1,38.15,3,15.0,1,1,14.835225264444448,0
6604,8341,268,2009.09,2016.09,2015.07,2015.09,1190.88,1319,16.33,0.141434,44.31137796,12.82,2,96.64,6,13.2,0,0,14.83849434777778,0
15858,6376,0,2009.08,2016.08,2015.06,2015.08,926.12,1093,16.3,0.141434,44.31137796,26.04,1,92.34,6,10.392,0,1,14.823803819999998,1
2780,4508,0,2012.08,2016.09,2015.09,2015.09,650.69,0,18.36,0.140621,44.31137796,10.08,1,61.27,3,10.392,1,1,14.818462347777778,0
6966,46967,32153,2011.11,2016.11,2015.1,2015.11,4865.16,3677,143.27,0.115939,40.606701,5.64,2,590.98,4,30.0,1,1,27.17268927777777,0
10858,5140,0,2009.12,2016.12,2015.1,2015.12,768.9,0,16.63,0.143459,45.80687796,20.52,1,61.31,6,13.2,0,1,14.805328614444436,0
13348,87556,0,2008.1,2016.07,2015.06,2015.07,2901.65,154,132.28,0.0980289999999999,58.99595196,-1.7,1,304.67,7,13.2,0,0,34.68608129444445,0
9710,22051,14644,2012.01,2017.01,2015.11,2016.01,1130.0,0,19.68,0.144963,44.31137796,33.12,3,107.08,4,13.2,0,0,14.805761942222215,0
15271,18160,343517,2010.04,2016.04,2010.04,2015.04,1805.92,2461,131.76,0.1169099999999999,40.606701,35.88,2,212.87,6,29.7,0,0,27.21774297777777,0
11385,32386,0,2012.08,2016.09,2015.07,2015.09,344.73,0,15.2,0.141434,44.31137796,10.08,1,27.56,3,10.392,1,1,14.834146231111111,1
306,35218,0,2012.03,2016.03,2015.03,2015.03,3562.1,1983,140.03,0.1186359999999999,40.606701,22.97,1,530.56,4,17.0,1,1,27.22565823333333,0
11428,36448,0,2010.11,2016.11,2015.1,2015.11,724.89,765,126.77,0.114667,40.9390266,30.42,1,84.21,5,25.65,1,1,27.18115546666666,0
7334,2509,0,2009.06,2016.06,2009.06,2015.06,376.45,0,16.07,0.1457109999999999,44.31137796,16.92,1,37.7,7,10.392,0,0,14.837873035151516,0
10938,-234,0,2011.06,2016.06,2011.06,2015.06,-36.43,0,18.73,0.1457109999999999,44.31137796,19.72,1,0.0,5,12.1,0,0,14.835225264444448,0
9508,86936,0,2011.12,2016.12,2014.11,2015.12,8631.93,4761,129.24,0.114658,40.606701,19.8,1,920.34,4,19.8,1,0,27.14345177777777,1
258,312696,0,2010.12,2016.12,2010.12,2016.01,1643.67,84,129.61,0.115491,40.728885,0.0,1,166.59,5,25.0,1,1,27.25078,0
163,80274,148858,2010.12,2016.12,2015.11,2015.12,7971.42,17314,178.74,0.110037,40.606701,-1.28,2,544.64,5,32.0,1,1,27.252174166666663,0
2695,101727,0,2010.06,2016.06,2013.09,2015.06,2375.78,0,19.44,0.142819,44.31137796,19.28,1,195.15,6,13.2,1,1,14.82930269777778,1
4645,13441,0,2011.06,2017.01,2016.01,2015.04,2017.29,873,20.08,0.198096,46.30537836,39.48,2,159.31,5,13.15,1,0,14.843958953333336,0
7774,3329244,867921,2010.1,2016.1,2010.1,2015.1,1920.97,2561,18.0,0.1446309999999999,44.31137796,8.8,2,160.56,5,13.2,0,0,14.831895501818185,0
14905,4100379,0,2013.06,2016.06,2013.04,2015.06,169.51,0,18.21,0.144902,44.31137796,16.92,1,15.62,3,10.392,1,1,14.834897197777776,0
7143,4247,15114,2010.04,2016.04,2010.04,2015.04,643.54,0,17.4,0.146694,44.31137796,27.32,2,61.19,6,13.2,0,0,14.84555580888889,0
10830,4837,0,2010.07,2016.07,2010.07,2015.07,377.0,0,16.03,0.1457109999999999,44.31137796,14.64,1,37.41,6,10.392,0,0,14.83026755888889,0
8722,1505,0,2012.1,2016.1,2015.08,2015.1,224.1,160,17.03,0.14346,46.30537836,21.64,1,19.1,3,10.392,1,1,14.946048586666668,0
2068,5991,45560,2012.12,2016.12,2015.11,2015.12,890.8,1144,18.27,0.144038,45.80687796,23.36,2,74.86,3,15.0,1,0,14.815204014444443,0
6642,11028,0,2009.08,2016.09,2009.08,2015.09,1148.95,1336,131.8,0.1128599999999999,40.606701,13.63,2,110.55,6,19.8,0,0,27.167787666666666,0
9765,2060,0,2009.11,2016.11,2015.09,2015.11,304.9,352,15.91,0.142881,46.30537836,21.09,1,24.68,6,10.392,0,0,14.86551460333333,0
11348,6886,0,2009.09,2016.09,2015.07,2015.09,466.13,525,16.64,0.141434,44.31137796,10.03,1,28.67,6,10.35,0,1,14.819320181111111,0
5556,41756,0,2010.02,2016.1,2013.1,2015.1,4314.01,4139,131.74,0.115174,40.606701,14.6,1,466.79,6,43.64,1,0,27.1792828,0
1015,37348,1202507,2011.08,2016.12,2014.12,2015.12,2866.96,3485,16.28,0.182936,46.30537836,28.82,2,169.26,4,14.0,1,1,15.354646136666666,0
14697,28192,0,2010.01,2016.03,2010.01,2015.03,2636.67,1841,130.8,0.1169,40.606701,22.21,1,315.14,6,16.44,1,1,27.225663316666665,0
15235,652100,0,2012.02,2017.01,2015.12,2016.01,4352.15,3495,205.39,0.115753,40.606701,25.92,1,486.53,4,17.320999999999998,1,0,27.14405594444444,0
14249,731885,0,2010.05,2016.05,2010.05,2015.05,1376.92,0,16.84,0.1640569999999999,44.31137796,21.9,2,103.83,6,13.2,0,0,14.875393531111111,0
10626,18648,0,2009.11,2016.11,2009.11,2015.11,1844.38,1746,131.4,0.1152369999999999,40.606701,4.41,1,226.94,6,23.1,0,1,27.15347352777777,0
2108,350607,28689,2010.1,2016.03,2014.03,2015.03,4545.58,2097,141.4,0.11285,40.606701,44.88,3,516.71,5,30.0,0,0,27.230854322222218,0
2110,5991,0,2011.11,2016.11,2015.11,2015.11,630.27,460,131.76,0.1153599999999999,40.9390266,19.56,1,75.61,4,16.5,0,0,27.184343633333327,0
11541,172872,0,2011.01,2017.01,2011.01,2016.01,17061.25,13951,359.25,0.114008,40.606701,-0.24,1,1133.6,5,120.0,1,1,27.141357111111105,1
534,11059,0,2010.06,2016.06,2015.05,2015.06,1112.61,872,147.72,0.11634,40.606701,24.76,1,154.93,6,19.8,1,1,27.19990924444444,1
11695,13381,0,2010.01,2016.02,2010.01,2015.02,597.69,0,127.47,0.1169,40.606701,78.72,1,68.33,6,31.5,1,0,27.234919099999995,0
14104,15107,11708,2011.04,2016.04,2015.04,2015.04,1637.82,1461,143.02,0.117496,40.606701,25.04,2,191.75,5,20.785,1,1,27.254563138888887,0
8768,25430,0,2011.01,2017.01,2015.11,2016.01,3716.47,2902,13.31,0.142996,44.31137796,28.2,1,401.75,5,12.5,1,1,14.81417970888889,0
15573,1722179,1192414,2012.05,2016.05,2012.05,2015.05,5859.88,8839,16.5,0.142819,44.31137796,24.0,2,478.21,4,14.5,0,0,14.839217431111114,0
15842,8972,0,2012.11,2016.11,2015.05,2015.11,916.5,1214,141.72,0.1165089999999999,40.9390266,17.88,1,116.31,3,15.1,1,1,27.18284329999999,0
1063,3330,0,2012.05,2016.05,2015.04,2015.05,495.04,0,16.95,0.14398,44.31137796,19.2,1,49.35,4,10.39,1,1,14.864457847777778,0
15580,18328,0,2010.03,2016.03,2010.03,2015.03,1789.08,0,16.54,0.1620329999999999,44.31137796,21.23,1,157.97,6,10.35,0,0,14.883920725555557,0
14015,12999,0,2011.08,2016.08,2015.05,2015.08,1273.71,1332,125.35,0.1169099999999999,40.606701,17.34,1,169.7,4,19.8,1,1,27.181595388888887,0
14827,4703,0,2009.11,2016.11,2009.11,2015.11,705.82,0,16.45,0.146348,45.80687796,21.78,1,67.95,6,13.2,0,1,14.856386489696966,0
2067,4674,0,2009.08,2016.08,2009.08,2015.08,481.01,321,131.37,0.115174,40.606701,29.76,1,50.62,6,26.4,0,0,27.1792828,0
11702,4847,0,2010.05,2016.05,2010.05,2015.05,533.66,0,37.44,0.16695,44.31137796,19.2,1,57.04,6,10.392,0,0,14.87700355888889,0
6956,133781,0,2004.08,2016.08,2004.08,2015.08,4599.88,6529,131.37,0.115174,40.606701,14.28,1,510.87,11,22.86,0,0,27.179282666666666,0
7007,109808,0,2010.07,2016.07,2010.07,2015.07,10615.41,12216,148.2,0.1100829999999999,40.606701,-8.27,1,714.08,6,80.0,0,1,27.184649472222212,0
1251,2620,0,2011.06,2016.06,2011.06,2015.06,393.52,0,15.76,0.1457109999999999,44.31137796,16.92,1,39.27,5,10.392,1,1,14.835225264444448,0
13477,15079,0,2010.09,2016.09,2015.07,2015.09,1752.1,0,16.43,0.162327,44.31137796,11.95,1,124.84,5,13.856,0,0,14.853567808888885,0
945,4530,0,2010.01,2017.01,2015.11,2016.01,678.25,0,13.39,0.143227,44.31137796,31.32,1,77.39,6,12.5,1,1,14.805665708888888,0
2841,29990,0,2010.04,2016.04,2010.04,2015.04,2188.24,0,21.68,0.1620329999999999,44.31137796,24.52,1,197.62,6,13.2,1,1,14.878948536666668,0
4319,292041,0,2011.07,2016.07,2013.11,2015.07,27634.2,4745,407.97,0.1100829999999999,40.606701,-12.99,1,1912.77,5,125.0,1,1,27.184649472222212,0
13074,1218,0,2012.12,2016.12,2012.12,2015.12,331.13,0,14.99,0.272981,59.26637796,153.78,1,190.98,3,10.35,0,0,19.82821903111112,0
1662,20680,0,2009.1,2016.1,2009.1,2015.1,940.67,849,131.76,0.1152369999999999,40.9390266,21.96,1,115.71,6,16.5,0,0,27.218083655555557,0
7874,31368,0,2012.07,2016.07,2015.06,2015.07,3019.89,2441,131.76,0.114025,40.606701,11.54,1,383.81,4,15.01,0,1,27.18874952222222,0
6039,21118,3206,2011.1,2016.1,2015.05,2015.1,1585.98,0,121.16,0.1165089999999999,40.606701,8.28,2,189.95,4,16.5,0,0,27.16418466666666,0
2480,97289,0,2010.01,2017.01,2010.01,2016.01,482.26,0,16.46,0.146694,44.31137796,33.12,1,51.43,6,13.2,0,0,14.80585780888888,0
7713,8355,112227,2009.1,2016.1,2009.1,2015.1,559.21,0,18.04,0.144902,44.31137796,9.919999999999993,3,51.18,6,13.2,0,0,14.830288975555556,0
8970,4406520,1337056,2010.05,2016.05,2010.05,2015.05,8029.82,11516,142.27,0.114481,40.606701,36.09,2,793.09,6,52.5,0,0,27.20641752777777,0
452,15801,0,2009.11,2016.12,2009.11,2015.12,0.0,0,0.0,0.145071,44.44470996,-46.02,1,-114.74,6,13.856,1,0,0.0001999999999999,0
9571,37912,0,2012.11,2016.11,2015.09,2015.11,1710.14,0,38.77,0.162133,44.31137796,8.8,1,108.26,3,13.2,0,1,14.858416758888891,0
1752,507715,0,2013.01,2017.01,2013.01,2016.01,0.0,0,144.47,0.120372,40.606701,69.72,1,0.0,3,27.9,1,1,27.147762972222218,1
10878,2073,18354,2010.07,2016.03,2014.03,2015.03,197.01,1328,16.37,0.161743,44.31137796,23.76,2,26.41,6,10.392,0,0,14.88330630888889,0
5548,14745,0,2013.03,2016.03,2015.07,2015.03,1593.69,0,133.67,0.120372,40.606701,27.12,1,203.18,3,18.1,1,0,27.2288414,1
3507,319863,0,2010.05,2016.05,2010.05,2015.05,2680.34,2498,6.85,0.142819,44.31137796,17.22,1,183.33,6,10.392,0,0,14.839217364444444,0
7523,1532234,0,2010.08,2016.08,2010.08,2015.08,5938.92,5463,130.79,0.114481,40.606701,18.78,1,697.77,5,50.0,0,0,27.17905044444444,0
9215,10184,0,2011.06,2016.05,2015.05,2014.05,1481.04,3259,15.12,0.142881,44.31137796,31.64,1,130.05,5,13.856,1,1,14.499963384761902,1
11126,11224,0,2012.06,2016.05,2012.06,2015.05,1164.0,3202,38.9,0.161165,44.31137796,22.95,1,96.47,4,13.856,1,0,14.873622681111115,0
4881,7437,0,2009.12,2016.12,2009.12,2015.12,749.79,538,131.38,0.1152369999999999,40.9390266,24.02,1,88.35,6,23.1,0,1,27.144418999999992,0
8823,139930,30365,2009.06,2016.06,2009.06,2015.06,11452.71,8958,131.73,0.1100829999999999,40.606701,-5.84,2,782.86,7,70.0,0,0,27.19451233333333,0
3611,174901,0,2010.05,2016.07,2013.09,2015.07,16274.77,16070,170.71,0.1095049999999999,40.606701,-5.22,1,1102.81,6,50.0,1,1,27.192487999999997,0
9197,444844,0,2010.01,2016.03,2010.01,2015.03,39312.98,33995,351.26,0.100092,58.99595196,-1.83,1,1857.03,6,75.0,1,0,34.731962197222224,0
14282,19407,0,2009.1,2016.1,2009.1,2015.1,2881.14,3926,17.56,0.1446309999999999,44.31137796,8.8,1,217.95,6,13.2,0,0,14.81483114222222,0
7888,29466,0,2010.05,2016.05,2014.05,2015.06,3252.92,0,16.08,0.142065,44.31137796,25.7,1,275.03,6,13.856,0,0,14.843557142222222,0
5414,8553,8125,2009.09,2016.09,2014.09,2015.09,683.31,25,131.76,0.1152369999999999,40.9390266,29.28,4,101.51,6,19.8,0,0,27.33667506666667,0
5087,237449,0,2010.12,2016.12,2010.12,2015.12,104.65,0,19.71,0.146348,46.30537836,20.54,1,9.07,5,10.392,0,0,14.805568797777775,0
12158,23386,0,2009.09,2016.09,2015.07,2015.09,2511.48,0,60.65,0.141666,44.31137796,11.9,1,175.62,6,13.8,0,0,14.843581036666668,0
10119,47143,0,2012.04,2016.04,2015.04,2015.04,4782.15,3679,145.81,0.11634,40.606701,19.92,1,577.15,4,16.5,1,1,27.216903866666662,1
8952,7265,0,2012.12,2016.12,2015.11,2015.12,1254.68,0,23.27,0.13831,44.31137796,4.12,1,46.46,3,13.2,1,1,14.824488953333333,0
14918,153423,0,2010.06,2016.06,2010.06,2015.06,-2757.84,0,1.71,0.1646369999999999,44.31137796,15.08,1,97.98,6,10.35,0,0,14.871162792222222,0
8967,5266,0,2011.08,2016.08,2014.07,2015.08,789.32,0,16.28,0.1457109999999999,44.31137796,17.82,2,78.85,4,15.0,1,1,14.86475609777778,0
7057,7718,0,2011.05,2016.05,2011.05,2015.05,846.31,1573,9.86,0.165214,44.31137796,19.2,1,94.66,5,10.392,0,0,14.875283153333337,0
12394,104368,6907,2011.11,2016.11,2015.07,2015.11,3549.05,0,43.13,0.145789,44.31137796,6.45,2,322.03,4,13.856,0,0,14.864236292222223,0
2696,15932,0,2010.02,2016.02,2015.12,2015.02,1640.61,3223,16.26,0.159722,44.31137796,29.76,1,166.61,6,13.2,0,0,14.838975869999992,0
4370,5322441,921247,2007.05,2016.1,2007.05,2015.11,0.0,0,884.87,0.1125289999999999,39.02200704,-98.2,32,0.0,9,451.0,0,0,24.36891973555556,0
1962,10,0,2011.12,2016.12,2011.12,2015.12,1.46,0,18.14,0.147506,46.30537836,20.54,2,0.37,4,10.392,0,0,14.805838731111104,0
5146,1532234,0,2010.07,2016.07,2010.07,2015.07,9045.22,0,0.0,0.110422,40.728885,91.72,1,-335.23,6,62.975,0,0,27.231929444444443,0
7895,15105,208845,2009.07,2016.07,2009.07,2015.07,2218.19,1311,20.25,0.142819,44.31137796,14.38,2,165.51,7,11.4,0,0,14.82930273111111,0
1202,305472,243034,2013.02,2016.02,2015.12,2015.02,3473.66,0,17.5,0.141838,44.31137796,31.2,2,324.86,3,13.856,1,1,14.804965064444438,1
684,53830,10264,2003.1,2016.1,2014.03,2015.1,5173.04,5325,132.14,0.1152369999999999,40.606701,26.4,2,465.69,12,26.4,0,0,27.25337155555556,1
5435,13491,0,2009.06,2016.06,2009.06,2015.06,1762.78,0,15.98,0.143166,44.31137796,19.28,1,152.98,7,13.2,0,0,14.83437603111111,0
5865,584206,0,2008.07,2016.06,2008.07,2015.07,23143.3,37422,142.74,0.095558,58.99595196,-8.2,1,1453.41,8,80.0,0,0,34.68889092727272,0
8296,14361,0,2009.11,2016.11,2015.09,2015.11,1462.9,4473,17.63,0.162711,44.31137796,6.45,1,106.03,6,13.856,0,1,14.84495051444444,0
12253,6236,0,2012.11,2016.11,2015.11,2015.11,671.06,114,129.26,0.114782,40.9390266,20.55,1,87.46,3,17.320999999999998,1,1,27.19188071666666,0
11799,14512,0,2005.06,2016.02,2015.12,2015.02,190.12,41,20.19,0.142416,44.31137796,34.56,1,19.72,11,13.8,0,0,14.838681875555558,0
3286,78189,0,2011.1,2016.1,2013.1,2015.1,5946.26,0,20.54,0.143166,44.31137796,8.919999999999991,1,441.69,4,13.335,1,1,14.815685465454544,0
10217,9372,0,2009.08,2016.08,2009.08,2015.08,305.07,398,16.52,0.165793,44.31137796,12.36,1,35.06,6,10.392,0,0,14.860516458888888,0
10332,32,0,2011.08,2016.08,2011.08,2015.08,2.86,0,13.84,0.16695,44.31137796,12.36,1,0.19,4,10.392,1,0,14.861802092222224,0
12375,5522,150659,2011.12,2016.12,2015.11,2015.12,828.98,0,16.14,0.144038,45.30837756,11.8,2,71.54,4,10.3,0,0,14.805507980606055,0
1664,1172501,23809,2010.04,2016.04,2010.04,2015.04,9057.96,5675,82.83,0.143166,44.31137796,24.52,2,818.26,6,13.2,0,0,14.844290731111112,0
14092,27082,0,2012.07,2016.07,2013.11,2015.07,2719.39,2398,130.31,0.1165089999999999,40.606701,14.2,1,343.0,4,18.4,1,1,27.16418616666666,1
4736,7073,0,2012.06,2016.11,2013.11,2015.11,1021.11,0,16.15,0.140621,44.31137796,5.52,1,66.25,4,10.392,0,0,14.814963156363632,0
5858,13044,0,2009.1,2016.1,2009.1,2015.1,1928.95,0,18.65,0.142819,44.31137796,27.14,2,153.15,6,13.2,0,1,14.814730175555557,0
6813,6530,0,2012.05,2016.05,2013.1,2015.06,981.24,0,25.82,0.1457109999999999,44.31137796,24.42,1,102.49,4,13.2,1,1,14.84018287,0
9313,4002,0,2010.12,2016.11,2015.1,2015.11,394.51,398,144.27,0.114667,41.1052014,34.43,1,43.83,5,20.7,0,0,27.24383784444444,0
10198,2815,0,2009.12,2016.12,2015.11,2015.12,421.19,0,9.67,0.144038,46.30537836,21.7,1,34.72,6,11.0,0,1,14.805440731111103,0
